Date,Price
9/26/2023,2.791
9/25/2023,2.772
9/22/2023,2.74
9/21/2023,2.711
9/20/2023,2.694
9/19/2023,2.715
9/18/2023,2.695
9/15/2023,2.735
9/14/2023,2.719
9/13/2023,2.719
9/12/2023,2.728
9/11/2023,2.758
9/8/2023,2.753
9/7/2023,2.758
9/6/2023,2.752
9/5/2023,2.743
9/4/2023,2.667
9/1/2023,2.667
8/31/2023,2.717
8/30/2023,2.751
8/29/2023,2.735
8/28/2023,2.708
8/25/2023,2.662
8/24/2023,2.685
8/23/2023,2.694
8/22/2023,2.684
8/21/2023,2.651
8/18/2023,2.579
8/17/2023,2.636
8/16/2023,2.672
8/15/2023,2.616
8/14/2023,2.591
8/11/2023,2.555
8/10/2023,2.539
8/9/2023,2.598
8/8/2023,2.574
8/7/2023,2.574
8/4/2023,2.498
8/3/2023,2.527
8/2/2023,2.527
8/1/2023,2.497
7/31/2023,2.561
7/28/2023,2.551
7/27/2023,2.537
7/26/2023,2.595
7/25/2023,2.564
7/24/2023,2.599
7/21/2023,2.561
7/20/2023,2.578
7/19/2023,2.603
7/18/2023,2.658
7/17/2023,2.673
7/14/2023,2.793
7/13/2023,2.778
7/12/2023,2.834
7/11/2023,2.787
7/10/2023,2.842
7/7/2023,2.914
7/6/2023,2.864
7/5/2023,2.839
7/4/2023,2.876
7/3/2023,2.863
6/30/2023,2.747
6/29/2023,2.699
6/28/2023,2.662
6/27/2023,2.69
6/26/2023,2.691
6/23/2023,2.743
6/22/2023,2.684
6/21/2023,2.845
6/20/2023,2.857
6/19/2023,2.898
6/16/2023,2.936
6/15/2023,3.065
6/14/2023,3.058
6/13/2023,3.103
6/12/2023,3.164
6/9/2023,3.163
6/8/2023,3.205
6/7/2023,3.188
6/6/2023,3.196
6/5/2023,3.204
6/2/2023,3.181
6/1/2023,3.232
5/31/2023,3.27
5/30/2023,3.282
5/29/2023,3.361
5/26/2023,3.308
5/25/2023,3.238
5/24/2023,3.146
