"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"24/01/2024","22,264.1","22,264.1","22,459.0","22,215.4","10.34M","0.00%"
"23/01/2024","22,264.1","22,507.7","22,605.1","22,215.4","6.17M","-0.87%"
"22/01/2024","22,459.0","22,020.5","22,702.6","21,971.8","25.15M","2.44%"
"19/01/2024","21,923.1","22,166.7","22,166.7","21,776.9","8.76M","-0.22%"
"18/01/2024","21,971.8","22,069.2","22,361.5","21,825.6","12.37M","-0.22%"
"17/01/2024","22,020.5","22,361.5","22,410.3","21,874.4","12.90M","-1.31%"
"16/01/2024","22,312.8","21,046.2","22,312.8","20,900.0","19.79M","6.02%"
"15/01/2024","21,046.2","21,289.7","21,435.9","21,046.2","5.88M","-0.46%"
"12/01/2024","21,143.6","21,241.0","21,533.3","20,948.7","12.53M","-1.81%"
"11/01/2024","21,533.3","21,241.0","21,582.1","21,241.0","10.39M","1.84%"
"10/01/2024","21,143.6","21,338.5","21,387.2","20,753.8","19.60M","-0.91%"
"09/01/2024","21,338.5","21,776.9","21,825.6","21,241.0","16.85M","-2.01%"
"08/01/2024","21,776.9","21,874.4","22,020.5","21,679.5","10.81M","0.00%"
"05/01/2024","21,776.9","21,874.4","21,971.8","21,582.1","9.18M","-0.45%"
"04/01/2024","21,874.4","22,069.2","22,264.1","21,874.4","12.78M","-0.88%"
"03/01/2024","22,069.2","21,533.3","22,069.2","21,484.6","7.15M","2.26%"
"02/01/2024","21,582.1","22,410.3","22,410.3","21,582.1","12.29M","-2.85%"
"29/12/2023","22,215.4","22,117.9","22,215.4","21,971.8","12.87M","0.44%"
"28/12/2023","22,117.9","21,874.4","22,215.4","21,825.6","11.73M","1.11%"
"27/12/2023","21,874.4","21,582.1","22,020.5","21,582.1","15.15M","1.58%"
"26/12/2023","21,533.3","21,387.2","21,679.5","21,289.7","7.15M","0.68%"
"25/12/2023","21,387.2","21,094.9","21,825.6","21,094.9","10.85M","1.62%"
"22/12/2023","21,046.2","21,192.3","21,338.5","20,851.3","5.30M","-0.69%"
"21/12/2023","21,192.3","20,753.8","21,338.5","20,705.1","9.07M","1.16%"
"20/12/2023","20,948.7","21,094.9","21,094.9","20,753.8","4.47M","0.00%"
"19/12/2023","20,948.7","20,315.4","20,948.7","20,266.7","8.09M","3.61%"
"18/12/2023","20,217.9","20,315.4","20,607.7","20,217.9","5.98M","-0.48%"
"15/12/2023","20,315.4","20,461.5","20,753.8","20,120.5","9.14M","-0.71%"
